I, [2018-09-05T09:46:52.650922 #15141]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-09-05T09:46:52.667909 #15141] ERROR -- Kitchen: ------Exception-------
E, [2018-09-05T09:46:52.667957 #15141] ERROR -- Kitchen: Class: Kitchen::ClientError
E, [2018-09-05T09:46:52.667977 #15141] ERROR -- Kitchen: Message: Could not load the 'terraform' driver from the load path. Please ensure that your driver is installed as a gem or included in your Gemfile if using Bundler.
E, [2018-09-05T09:46:52.667995 #15141] ERROR -- Kitchen: ----------------------
E, [2018-09-05T09:46:52.668010 #15141] ERROR -- Kitchen: ------Backtrace-------
E, [2018-09-05T09:46:52.668026 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/driver.rb:48:in `rescue in for_plugin'
E, [2018-09-05T09:46:52.668041 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/driver.rb:37:in `for_plugin'
E, [2018-09-05T09:46:52.668057 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:234:in `new_driver'
E, [2018-09-05T09:46:52.668071 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:247:in `new_instance'
E, [2018-09-05T09:46:52.668086 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:142:in `block in build_instances'
E, [2018-09-05T09:46:52.668101 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `map'
E, [2018-09-05T09:46:52.668116 #15141] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `with_index'
